symbol,timestamp,spot_price,hawkes_score,kalman_velocity,particle_mean,regime_state,ensemble_prediction,meta_learning_weight,fusion_mean,p_up,p_down,expected_return,kelly_fraction,signal,signal_confidence,actual_return,correct,institutional_forecast,institutional_confidence,positioning_strength,bullish_score,bearish_score,neutral_score,pcr_val,gamma_pressure,dealer_pressure,rsi,adx,atr,volume_ratio,pcr,meta_learning_prediction
NIFTY,2026-07-24 08:42:00,23792.5,1.0000030721061768,-1.7647815815151304,23793.62005976636,TRENDING_BEAR,-0.0087578343227505,0.2,1.7290331395518695e-05,0.268941605959154,0.2689421445981834,1.7290331395518695e-05,8.480740654725118e-05,NEUTRAL,0.4621162494426625,,,0.0,0.0,0.0,0.0,0.0,100.0,0.997719503078461,0.0,0.0,49.716312056726686,47.61572723120501,9.0821428571427,0.0,0.997719503078461,-0.0151399366557598
NIFTY,2026-07-24T08:42:00,23792.5,1.0000030721061768,-1.7647815815151304,23793.79857958991,TRENDING_BEAR,-0.0087578343227505,0.2,9.212976068302298e-06,0.2689416046522363,0.2689421394776211,9.212976068302298e-06,8.119509244895592e-05,NEUTRAL,0.4621162558701425,0.0002858163629867,True,0.0,0.0,0.0,0.0,0.0,100.0,0.997719503078461,0.0,0.0,49.716312056726686,47.61572723120501,9.0821428571427,0.0,0.997719503078461,-0.0151399366557598
NIFTY,2026-07-24T08:43:00,23794.05,1.0000009253005988,3.2663810824892034,23793.51139036764,TRENDING_BEAR,-0.0087006511166691,0.2,-4.753307744213673e-05,0.2689417894304224,0.2689417882759821,-4.753307744213673e-05,1.4504080810049286e-05,NEUTRAL,0.4621164222935954,-0.0002038328990501,True,0.0,0.0,0.0,0.0,0.0,100.0,0.9991365872719096,0.0,0.0,43.04687499998945,41.65575959338644,8.79285714285704,0.0,0.9991365872719096,-0.015241752192378
BANKNIFTY,2026-07-24T08:30:00,56772.0,1.0,67.93205149795006,56754.364990060814,HIGH_VOLATILITY,203.79615449385017,0.2,0.0021080068284111,0.2689927256413049,0.2689540781039712,0.0021080068284111,0.1678632226198031,NEUTRAL,0.4620531962547238,-0.0005371051616686,True,0.0008333333333333,0.1666666666666666,16.666666666666664,16.666666666666664,0.0,83.33333333333334,1.0030256652584508,0.0,0.0,75.01193628195584,44.38040582478969,140.9749999999996,0.0,1.0030256652584508,339.6602574897503
NIFTY,2026-07-23 18:30:00,14.12,1.0,0.6687073756420108,13.750307857313132,TRANSITION,-0.0129909887909889,0.2,-0.009780800569433,0.2836402330418878,0.337043798575623,-0.009780800569433,0.1732509027462349,NEUTRAL,0.379315968382489,,,-0.0008333333333333,0.1666666666666666,16.666666666666664,0.0,16.666666666666664,83.33333333333334,1.0,0.0,0.0,,,,,1.0,-0.0145153686404228
NIFTY,2026-07-24 08:45:00,23799.3,1.0,3.3320765467452524,23797.49011829873,TRENDING_BULL,-0.0095892306417226,0.25,-4.930151735151476e-06,0.2689461247766307,0.268946172888566,-4.930151735151476e-06,0.0,NEUTRAL,0.4621077023348033,,,0.0,0.0,0.0,0.0,0.0,100.0,1.00192355801472,0.0,0.0,59.99371464487225,25.60036931690098,20.06428571428582,0.0,1.00192355801472,-0.015609161183238
NIFTY,2026-07-24T08:46:00,23799.2,1.0000000252826566,-0.6825714455076426,23798.411004863447,TRENDING_BULL,-0.0097336573526263,0.25,-8.193761023598296e-05,0.2689455334611443,0.2689557292895754,-8.193761023598296e-05,0.0148379029473228,NEUTRAL,0.4620987372492802,-0.0008717828063423,True,0.0,0.0,0.0,0.0,0.0,100.0,1.0006051844131392,0.0,0.0,37.872340425522005,28.040793081741345,6.878571428571116,0.0,1.0006051844131392,-0.0156010173261165
NIFTY,2026-07-23 15:00:00,64611.15,1.0,-2205.5422141412328,65272.40486147426,TRANSITION,-0.0046164435334503,0.2,0.0022978386453153,0.310917803562692,0.2990382816075414,0.0022978386453153,0.070092998628893,NEUTRAL,0.3900439148297665,,,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,,,,,1.0,0.0002691778354346
NIFTY,2026-07-24 08:45:00,23789.15,1.0,-8.258023328610424,23792.247904922573,TRENDING_BULL,-0.0097336573526263,0.25,-0.0002859064401228,0.2689422786225035,0.2689669223455269,-0.0002859064401228,0.0439246856949803,NEUTRAL,0.4620907990319696,,,0.0,0.0,0.0,0.0,0.0,100.0,1.0006432882541034,0.0,0.0,56.54276216379149,25.60036931690098,20.57500000000021,0.0,1.0006432882541034,-0.01559639275074
NIFTY,2026-07-24 08:47:00,23798.55,1.00000000761499,-4.098554027070414,23798.83419881178,TRENDING_BULL,-0.0089095653966069,0.25,-4.2693612532271655e-05,0.2689439605833255,0.268965017934536,-4.2693612532271655e-05,0.0026315188629214,NEUTRAL,0.4620910214821385,,,0.0,0.0,0.0,0.0,0.0,100.0,1.000888972952525,0.0,0.0,28.031145717453697,24.308027999835925,7.210714285714338,0.0,1.000888972952525,-0.0155024975538253
